query_id,pair_id,principio_activo,grupo_terapeutico,drug_name,is_generic,query_type,query_category,query_text,response_text,response_word_count,collection_timestamp,notes
Q0001,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,indication,¿Para qué sirve LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES?,,,,
Q0002,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,adverse_effects,¿Cuáles son los efectos secundarios de LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES?,,,,
Q0003,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,pregnancy,¿Se puede tomar LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES durante el embarazo?,,,,
Q0004,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,dosage,¿Qué dosis de LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES debo tomar?,,,,
Q0005,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,driving,¿Puedo conducir si tomo LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES?,,,,
Q0006,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,contraindications,¿Cuándo no debo tomar LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES?,,,,
Q0007,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,factual,storage,¿Cómo debo conservar LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES?,,,,
Q0008,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,interaction,alcohol,¿Puedo tomar LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES con alcohol?,,,,
Q0009,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES,False,interaction,food,¿Puedo tomar LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES con las comidas?,,,,
Q0010,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,indication,¿Para qué sirve OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0011,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,adverse_effects,¿Cuáles son los efectos secundarios de OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0012,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,pregnancy,¿Se puede tomar OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG durante el embarazo?,,,,
Q0013,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,dosage,¿Qué dosis de OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG debo tomar?,,,,
Q0014,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,driving,¿Puedo conducir si tomo OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0015,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,contraindications,¿Cuándo no debo tomar OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
